"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2023,"10009",4,3,"divendres", 6398
2023,"10009",4,4,"dissabte", 4819
2023,"10009",4,5,"diumenge", 3261
2023,"10009",5,1,"dilluns", 5715
2023,"10009",5,2,"laborables", 5924
2023,"10009",5,3,"divendres", 6448
2023,"10009",5,4,"dissabte", 5156
2023,"10009",5,5,"diumenge", 3625
2023,"10009",6,1,"dilluns", 5867
2023,"10009",6,2,"laborables", 6176
2023,"10009",6,3,"divendres", 6670
2023,"10009",6,4,"dissabte", 4946
2023,"10009",6,5,"diumenge", 3297
2023,"10009",7,1,"dilluns", 6218
2023,"10009",7,2,"laborables", 6506
2023,"10009",7,3,"divendres", 7093
2023,"10009",7,4,"dissabte", 5219
2023,"10009",7,5,"diumenge", 3766
2023,"10009",8,1,"dilluns", 7366
2023,"10009",8,2,"laborables", 7622
2023,"10009",8,3,"divendres", 7567
2023,"10009",8,4,"dissabte", 6146
2023,"10009",8,5,"diumenge", 4658
2023,"10009",9,1,"dilluns", 8898
2023,"10009",9,2,"laborables", 8993
2023,"10009",9,3,"divendres", 9546
2023,"10009",9,4,"dissabte", 7297
2023,"10009",9,5,"diumenge", 5372
2023,"10009",10,1,"dilluns", 8415
2023,"10009",10,2,"laborables", 8737
2023,"10009",10,3,"divendres", 8857
2023,"10009",10,4,"dissabte", 7366
2023,"10009",10,5,"diumenge", 5456
2023,"10009",11,1,"dilluns", 8311
2023,"10009",11,2,"laborables", 8623
2023,"10009",11,3,"divendres", 9243
2023,"10009",11,4,"dissabte", 7613
2023,"10009",11,5,"diumenge", 5646
2023,"10009",12,1,"dilluns", 8559
2023,"10009",12,2,"laborables", 8581
2023,"10009",12,3,"divendres", 9020
2023,"10009",12,4,"dissabte", 7268
2023,"10009",12,5,"diumenge", 5542
2023,"1001",1,1,"dilluns", 30910
2023,"1001",1,2,"laborables", 31816
2023,"1001",1,3,"divendres", 33975
2023,"1001",1,4,"dissabte", 25939
2023,"1001",1,5,"diumenge", 20212
2023,"1001",2,1,"dilluns", 31736
2023,"1001",2,2,"laborables", 32709
2023,"1001",2,3,"divendres", 34170
2023,"1001",2,4,"dissabte", 24937
2023,"1001",2,5,"diumenge", 22355
2023,"1001",3,1,"dilluns", 31991
2023,"1001",3,2,"laborables", 33062
2023,"1001",3,3,"divendres", 34668
2023,"1001",3,4,"dissabte", 26288
2023,"1001",3,5,"diumenge", 23464
2023,"1001",4,1,"dilluns", 32640
2023,"1001",4,2,"laborables", 33113
2023,"1001",4,3,"divendres", 35606
2023,"1001",4,4,"dissabte", 24978
2023,"1001",4,5,"diumenge", 20679
2023,"1001",5,1,"dilluns", 32554
2023,"1001",5,2,"laborables", 33386
2023,"1001",5,3,"divendres", 34732
2023,"1001",5,4,"dissabte", 26472
2023,"1001",5,5,"diumenge", 22734
2023,"1001",6,1,"dilluns", 32039
2023,"1001",6,2,"laborables", 31804
2023,"1001",6,3,"divendres", 32307
2023,"1001",6,4,"dissabte", 23410
2023,"1001",6,5,"diumenge", 20261
2023,"1001",7,1,"dilluns", 32412
2023,"1001",7,2,"laborables", 33909
2023,"1001",7,3,"divendres", 33562
2023,"1001",7,4,"dissabte", 20773
2023,"1001",7,5,"diumenge", 20886
2023,"1001",8,1,"dilluns","Mesura no disponible"
2023,"1001",8,2,"laborables","Mesura no disponible"
2023,"1001",8,3,"divendres","Mesura no disponible"
2023,"1001",8,4,"dissabte","Mesura no disponible"
2023,"1001",8,5,"diumenge","Mesura no disponible"
2023,"1001",9,1,"dilluns", 32804
2023,"1001",9,2,"laborables", 34214
2023,"1001",9,3,"divendres", 33857
2023,"1001",9,4,"dissabte", 23494
2023,"1001",9,5,"diumenge", 21686
2023,"1001",10,1,"dilluns", 33129
2023,"1001",10,2,"laborables", 34585
2023,"1001",10,3,"divendres", 34384
2023,"1001",10,4,"dissabte", 26327
2023,"1001",10,5,"diumenge", 22471
2023,"1001",11,1,"dilluns", 32323
2023,"1001",11,2,"laborables", 33094
2023,"1001",11,3,"divendres", 34622
2023,"1001",11,4,"dissabte", 26956
2023,"1001",11,5,"diumenge", 22894
2023,"1001",12,1,"dilluns", 32633
2023,"1001",12,2,"laborables", 32567
2023,"1001",12,3,"divendres", 34132
2023,"1001",12,4,"dissabte", 25636
2023,"1001",12,5,"diumenge", 21186
2023,"10010",1,1,"dilluns", 10024
2023,"10010",1,2,"laborables", 10398
2023,"10010",1,3,"divendres", 10603
2023,"10010",1,4,"dissabte", 7878
2023,"10010",1,5,"diumenge", 5828
2023,"10010",2,1,"dilluns", 9938
2023,"10010",2,2,"laborables", 10573
